shipsName,shipsOwner,yearBuilt,vesselType,dateLost,year,month,day,latitude,longitude,locationLost,causeOfLoss,departurePort,destinationPort
74 H,,,Scow,7/28/1916,1916.0,7,28,,,Sandy Hook SE 5 mi,Grounded,,
A B Crosby,,1884,Schooner,3/12/1888,1888.0,3,12,,,Atlantic Highlands,Grounded in snowstorm,"Porto Bello, Panama","New York, NY"
A B Sherman,,1883,Schooner,12/8/1886,1886.0,12,8,,,Five Fathoms Bank Light,Storm,"Boston, MA","Baltimore, MD"
A B Thompson,,,Yacht,7/18/1874,1874.0,7,18,,,Absecon,Capsized,"Atlantic City, NJ","Atlantic City, NJ"
A C Austin,,,Schooner,2/1868,1868.0,2,,,,Sandy Hook Romer Shoal,Grounded,,
A D Scull,,1864,Schooner,4/18/1880,1880.0,4,18,,,Townsends Inlet,Grounded,"Fall River, MA","New Castle, DE"
A E Douglass,,1855,Schooner,6/4/1862,1862.0,6,4,,,Barnegat N 8 mi,Foundered,"Philadelphia, PA","Boston, MA"
A F Baillie,,1872,Schooner,11/17/1875,1875.0,11,17,,,"Carters Bar, VA",Storm,"Baltimore, MD","Boston, MA"
A F Crockett,,1881,Schooner,5/21/1894,1894.0,5,21,,,Harvey Cedars NE .5 mi,Stranded,"Brunswick, GA","New York, NY"
A Field,,,Schooner,2/10/1852,1852.0,2,10,,,Deal Beach,Stranded,"Cardenas, Mexico","New York, NY"
A G Ropes,Luckenbach SS Co,1884,Schooner - Barge,12/26/1913,1913.0,12,26,,,Island Beach,Foundered in gale,"Philadelphia, PA","Providence, RI"
A H Bowman,,,Steamship,12/4/1857,1857.0,12,4,,,Deal Lake N .25 mi,,"Norfolk, VA","New York, NY"
A H Edward,,,Schooner,1820,1820.0,,,,,Nine Mile Beach,Stranded,,
A H Hurlburt,,1871,Schooner,6/26/1884,1884.0,6,26,,,Cape May LSS SW 4 mi,Stranded,"Hallowell, ME","Yorktown, VA"
A J Bentley,Bentley & Gildersleeve,1865,Schooner,5/27/1873,1873.0,5,27,,,Barnegat,Collision w/ unknown schooner,"Georgetown, DC","New York, NY"
A J Hoole,,,Schooner,12/19/1902,1902.0,12,19,,,Spermaceti Cove LSS S 1 mi,Grounded,"Jersey City, NJ","Seabright, NJ"
A L & M Townsend,,1871,Schooner,12/30/1888,1888.0,12,30,,,Little Egg LSS S 2 mi,Grounded,"New York, NY","Atlantic City, NJ"
A L Lee (1897),,1884,Schooner,3/25/1897,1897.0,3,25,,,Ocean City LSS E .5 mi,Stranded,"Somers Point, NJ","Haverstraw, NY"
A L Lee (1898),,1884,Schooner,8/26/1898,1898.0,8,26,,,Absecon bar,Grounded,"Haverstraw, NY","Atlantic City, NJ"
A L Lee (1902),,1884,Schooner,12/10/1902,1902.0,12,10,,,Absecon bar,Grounded,"Haverstraw, NY","Atlantic City, NJ"
A Lincoln,,1865,Schooner,10/12/1891,1891.0,10,12,,,Barnegat,Damaged in gale,,Fishing trip
A M C Smith,,,Schooner,10/13/1876,1876.0,10,13,39.98525,-74.06100,Green Island LSS N .25 mi,Stranded,"New York, NY",Fishing trip
A M Lee,G H Newhall,1864,Schooner,10/12/1885,1885.0,10,12,,,Highlands SE .5 mi,Dismasted in storm,"Philadelphia, PA","Bridgeport, CT"
A P Nowell,Thomas Winsmore,1874,Schooner,8/3/1886,1886.0,8,3,,,Cape May,"Collision w/ ""Josephine""","Philadelphia, PA","Lynn, MA"
A Pardee,,,Schooner,3/16/1875,1875.0,3,16,,,Little Egg Harbor,Grounded,,
A S Wasse,,,Brig,1838 - 1878,1860.0,,,,,Squan Inlet S 1.5 mi,Stranded,,
A T Coleman,,1865,Schooner,1/20/1901,1901.0,1,20,39.35920,-74.41495,Atlantic City New Jersey Ave S,Stranded,"New Bern, NC","Atlantic City, NJ"
A T Stewart #6,,,Pilot boat,11/30/1869,1869.0,11,30,,,New Jersey coast,"Collision w/ ""Scotia""",,Pilot service
Abbie E Campbell,Maxon Fish et al,1866,Schooner,9/14/1873,1873.0,9,14,,,Brigantine Shoal,Stranded,"Georgetown, DC","New York, NY"
Abbie H Gheen,E G Taulane,1880,Schooner,6/27/1900,1900.0,6,27,,,Manasquan Inlet,"Collision w/ ""Manna-Hatta""","Norfolk, VA","New York, NY"
Abbie M Deering,,1883,Schooner,4/29/1885,1885.0,4,29,,,,Stranded,,
Abbie Pitman,,1866,Schooner,10/17/1879,1879.0,10,17,,,,Collision,,"Philadelphia, PA"
Abbie S Walker,,1883,Schooner,4/21/1888,1888.0,4,21,,,Hereford Inlet North bar,Stranded,"Vinalhaven, ME","Philadelphia, PA"
Abby,,,Schooner,3/4/1853,1852.0,3,4,,,Cape May,Stranded; bilged in storm,,
Abby K Bentley,Bentley Gildersleeve & Co,1872,Schooner,3/25/1885,1885.0,3,25,,,Squan Beach,Sprung foremast,"Boothbay, ME","Petersburg, VA"
Abby L Dow (1887),E Coon,1870,Schooner,11/17/1887,1887.0,11,17,,,Hereford Inlet,"Collision w/ ""H S Lanfair""","Rondout, NY","Philadelphia, PA"
Abby L Dow (1893),Philip Young,1870,Schooner,12/8/1893,1893.0,12,8,,,Hereford Inlet bar,Stranded,"Rockport, ME","Philadelphia, PA"
Abby Whitman,,1854,Schooner,1/21/1855,1855.0,1,21,,,Little Egg Harbor,Grounded,"Savannah, GA","Philadelphia, PA"
Abel C Buckley,G P Buckley,1869,Schooner,10/19/1879,1879.0,10,19,,,Barnegat,Damaged in storm,,
Aberdeen,S H Mills,1856,Bark,1/6/1885,1885.0,1,6,39.67529,-74.14656,Harvey Cedars LSS,Stranded,"Mobile, AL","Boston, MA"
Abiel Abbot,Abiel Abbot,1874,Bark,1/20/1903,1903.0,1,20,39.67529,-74.14656,Ship Bottom LSS S .5 mi,Stranded,"Salt Key, Turks Island","New York, NY"
Abigail (1756),,,Sloop,5/1/1756,1756.0,5,1,,,Great Egg Harbor Shoal,Stranded,"Salem, MA","Philadelphia, PA"
Abigail (1831),,,Sloop,1/1831,1831.0,1,,,,"Leeds Point, NJ",Foundered at anchor,,
Abigail Haley,Haley & Co.,1860,Schooner,1/18/1868,1868.0,1,18,,,Squan Inlet S 3 mi,Grounded,,
Abraham Leggett #4,,,Pilot boat,3/7/1870,1870.0,3,7,,,Highlands S 3 mi,Grounded,,
Absecon,,1884,Steamship,11/11/1885,1885.0,11,11,,,Absecon,Stranded,,"Somers Point, NJ"
Acara,J M Wood,1898,Screw schooner,3/1/1902,1902.0,3,1,40.58634,-73.56053,Jones Inlet - Outer Sand Bar,Stranded in storm,Singapore,"New York, NY"
Achille S / Achilles,,1870,Brig,2/21/1882,1862.0,2,21,39.51141,-74.30351,Little Egg LSS E,Grounded,"Montevideo, SA","New York, NY"
Achorn,,,Schooner,3/18/1880,1880.0,3,18,,,Absecon E 9 mi,"Collision w/ ""Maria and Elizabeth""",,
Active (1778),,,Brig Privateer,1778,1778.0,,,,,,Taken by HMS Mermaid,,
Active (1885),,1868,Sloop,7/11/1885,1885.0,7,11,,,Sandy Hook Point,Stranded,"New York, NY",Fishing cruise
Active (1938),,1895,Motor vessel,10/1/1938,1938.0,10,1,,,"Belford, NJ",Foundered,,
Ada F Crosby,John Baizley & Sons,1875,Bark,10/5/1881,1881.0,10,5,37.50000,-72.33330,Del-Mar-Va E 200 mi,Leaking; Abandoned at sea,"Philadelphia, PA","Portland, ME"
Adair F Bonney,,,Schooner,11/13/1875,1875.0,11,13,,,Barnegat,Lost at Sea,"Perth Amboy, NJ","Richmond, VA"
Addie,,1883,Schooner,4/3/1886,1886.0,4,3,,,Cold Spring Inlet South bar,Stranded,"Indian River, DE","Cape May, NJ"
Addie B Bacon,,1874,Barge,2/10/1908,1908.0,2,10,,,Sandy Hook Flynns Knoll,Stranded,,
Addie E Sleeper,,,Bark,1/4/1879,1879.0,1,4,,,Highlands,Dismasted in gale,"Aspinwall, Central America","New York, NY"
Addie Harris,,,Schooner,3/20/1866,1866.0,3,20,,,Corsons Inlet,Stranded,"New York, NY","Philadelphia, PA"
Addie Jordan,,1873,Schooner,12/14/1907,1907.0,12,14,,,Squan Beach N 5 mi,Stranded,"Norfolk, VA","New York, NY"
Addie P McFadden,,1890,Schooner,4/10/1894,1894.0,4,10,39.28740,-74.55060,Ocean City LSS NW .75 mi,Stranded,"Boothbay, ME","Ocean City, NJ"
Addie Schlaefer,L H Hopkins,1874,Schooner,3/27/1877,1877.0,3,27,,,Cold Spring Inlet South bar,Stranded,"Norfolk, VA","New York, NY"
Addie Taylor,,,Schooner - yacht,10/15/1882,1882.0,10,15,,,Sandy Hook Point,Stranded; swamped,"Jersey City, NJ",Pleasure cruise
Addie Walton,,,Schooner,9/16/1876,1876.0,9,16,,,,"Collision w/ ""Light Brigade""","Philadelphia, PA","Boston, MA"
Addie Wooster,,1914,Motor vessel gas,6/15/1921,1921.0,6,15,,,Atlantic City,Stranded,,
Adelaide (1840),,,Schooner,2/23/1840,1840.0,2,23,,,Sickles Creek,Stranded/Broke up,Dominica,Nova Scotia
Adelaide (1841),,,Schooner,11/14/1841,1841.0,11,14,,,Brigantine Beach,Leaking,"Tuckerton, NJ","Sing Sing, NY"
Adelaide (1846),,,Sloop,9/9/1846,1846.0,9,9,,,Barnegat Inlet,Struck Bar; Capsized,"Manahawkin, NJ","Barnegat City, NJ"
Adelaide (1870),,1853,Schooner,1/4/1870,1870.0,1,4,,,Barnegat,"Collision w/ ""Shakespeare""","Somerset, NJ","Baltimore, MD"
Adele,,,Dragger,1958,1958.0,,,,,Manasquan Inlet ESE 6.5 mi,Foundered,,
Adele Lindell,,,Schooner,4/30/1885,1885.0,4,30,,,Tuckerton Shoal,Stranded,,
Adele Trudell,Frank Smith et al,1870,Schooner,11/24/1891,1891.0,11,24,,,Sandy Hook Romer Shoal,Stranded in storm,"Cape May, NJ","New York, NY"
Adelia Burley,,,Schooner,4/15/1874,1874.0,4,15,,,Great Egg Harbor bar,Stranded,"New York, NY","Somers Point, NJ"
Adelia Hodgkins,,,Schooner,3/6/1877,1877.0,3,6,,,Egg Harbor,,,
Adeline Baxter,Jacob Baxtor,,Schooner,11/2/1877,1877.0,11,2,,,Corsons Inlet S .5 mi,Stranded in storm,"Verplank Point, NY","Millville, NJ"
Adeliza,,,Schooner,1/13/1877,1877.0,1,13,,,Sandy Hook,Crushed in ice,"New York, NY","St Domingo, Dom Republic"
Admiral Dewey,,1898,Barge,1/24/1918,1918.0,1,24,,,New Jersey coast,Burned,,
Admiral Dupont,,1847,Sidewheel steam,6/8/1865,1865.0,6,8,,,Cape May,"Collision w/ ""Stadacona""","New York, NY","Hampton Roads, VA"
Admiral Rodney,,,Brig,7/8/1780,1780.0,7,8,,,Sandy Hook,Battle w/ US privateer,,
Adolphus,Abel C Robbins,1873,Ship,1/4/1886,1886.0,1,4,38.86666,-75.13055,Delaware Bay The Shears,Stranded in storm,"London, England","Philadelphia, PA"
Adonis,,1853,Bark,3/3/1859,1859.0,3,3,,,Long Branch South end,Stranded in storm,"Newcastle, England","New York, NY"
Adrian ,,,Schooner,5/12/1855,1855.0,5,12,,,Delaware Bay,"Collision w/ ""Keystone State""","Philadelphia, PA","Fall River, MA"
Adrian Maria,,,Trawler,6/8/1985,1985.0,6,8,,,Hereford Shoal,Stranded,,
Adriana,,,Merchantman,12/1801,1801.0,12,,,,Delaware bay,Crushed in ice,,
Adriatic,,,Fishing trawler,1/18/1999,1999.0,1,18,,,Beach Haven SE 5 mi,Unknown,"Pt Pleasant, NJ",Clamming service
Adriatic (1864),E E Morgan & Sons,1861,Sailing ship,8/12/1864,1864.0,8,12,,,Montuk SW 20 mi,"Burned by Confederate Raider ""Tallahassee""","London, England","New York, NY"
Adrienne,,,Sloop,10/23/1878,1878.0,10,23,,,Short Beach,Stranded in storm,"Toms River, NJ",
Adry,,1916,Motor vessel,3/21/1927,1927.0,3,21,,,Perth Amboy,Burned,,
Advent,,,Schooner,5/9/1851,1851.0,5,9,,,Delaware Capes,Grounded,"Boston, MA","Savannah, GA"
Adventure (1760),,,Merchantman,1760,1760.0,,,,,Sandy Hook,Stranded,,
Adventure (1762),,,Schooner,10/8/1762,1762.0,10,8,,,Barnegat,Stranded,"St Martins, WI","New London, CT"
Adventurer,Adventure Fleet Inc,1959,Charter fishing boat,4/16/1983,1983.0,4,16,38.76166,-74.71972,Cape May Inlet SE 12 mi,,,
Aeolus,Neptune Maritime Co,1965,Tanker,8/24/1974,1974.0,8,24,,,Ambrose Light E 2 mi,Grounded,"St Croix, USVI","New York, NY"
African Monarch,Monarch SS Co,1898,Steamship,8/12/1910,1910.0,8,12,,,Brigantine LSS SE 3 mi,Stranded,"Philadelphia, PA","New York, NY"
Agnes (1808),,,Ship,11/1808,1808.0,11,,,,Cape May,Foundered,"Charleston, SC",
Agnes (1877),,,Steamship,3/1/1877,1877.0,3,1,,,Cold Spring Bar,Stranded,"Philadelphia, PA","New York, NY"
Agnes (1885),,,Schooner,3/27/1885,1885.0,3,27,,,Sandy Hook Romer Shoal,Stranded,"Barren Island, NY","South Amboy, NJ"
Aid (1864),,,Bark,8/3/1864,1864.0,8,3,,,Barnegat South Shoal,Stranded,Bermuda,"New York, NY"
Aid (1876),,,Schooner,9/17/1876,1876.0,9,17,,,Maurice River Flats,Stranded,"Philadelphia, PA","Fall River, MA"
Ajace,E R Zino,1872,Bark,3/4/1881,1881.0,3,4,40.54812,-73.92411,"Rockaway Shoals, NY",Stranded,"Antwerp, Belgium","New York, NY"
Ajax,Thomas Marshall,,Tug steam,2/4/1858,1858.0,2,4,,,Long Branch,Stranded; leaking,"Barnegat Inlet, NJ","New York, NY"
Akron (1912),Melvin Vaniman,,Blimp,7/2/1912,1912.0,7,2,,,Atlantic City E .5 mi,Explosion; Burned,,
Akron (1933),U S Navy,1931,Blimp,4/3/1933,1933.0,4,3,,,Little Egg Harbor E 30 mi,Crashed in storm,"Lakehurst, NJ",Demo cruise
Alabama,,,Schooner,2/15/1846,1846.0,2,15,40.09093,-74.03532,Squan Inlet S 1 mi,Stranded in gale,"Philadelphia, PA","New York, NY"
Alamo,Eldon S Poole,1949,Yacht motor,8/7/1970,1970.0,8,7,,,Cape May E 30 mi,Capsized while in tow,,
Alan T Niven,James Jackson,1922,Motor vessel,7/7/1928,1928.0,7,7,,,"Warners, NJ",Burned,,
Alaric,,,Sloop,1/25/1855,1855.0,1,25,,,,Stranded; Leaking,"Wilmington, NC","New York, NY"
Alarm USS,,1873,Torpedo Boat,11/28/1877,1877.0,11,28,,,Barnegat,"Collision w/ ""C & C Brooks""",,
Albano,,,Brig,7/17/1852,1852.0,7,17,,,Egg Harbor SE 25 mi,Capsized in squall,"New Haven, CT","Philadelphia, PA"
Albany,,,Sloop,2/23/1744,1744.0,2,23,,,,Foundered,,
Albatross,Olav J Berg,1925,Motor vessel diesel,9/2/1932,1932.0,9,2,,,Ambrose Light,Burned,,
Albemarle (1856),,,Schooner,12/15/1856,1856.0,12,15,,,Sandy Hook Inside,Stranded,"Providence, RI","New York, NY"
Albemarle (1866),,,Schooner,3/24/1866,1866.0,3,24,39.06666,-74.73333,Seven Mile Beach,,,
Albert (1837),,,Schooner,5/12/1837,1837.0,5,12,,,Cape May E 30 mi,"Collision w/ ""Talley Ho""","Boston, MA","Fredericksburg, VA"
Albert H Waite (1885),J. Winslow & Co,1873,Schooner,10/12/1885,1885.0,10,12,38-05-08 N,73-05-30 W,Barnegat Inlet SE 25 mi,Foundered in gale,"Philadelphia, PA","New Bedford, MA"
Albert H Waite (1887),John Musgrave,1873,Schooner,3/12/1887,1887.0,3,12,,,At sea,Foundered; Abandoned,"Philadelphia, PA","New Bedford, MA"
Albert Mason,,1861,Schooner,1/7/1891,1891.0,1,7,,,Holly Beach SE 4 mi,In distress,"Chickahominy River, VA","New York, NY"
Albert Vinal,,,Schooner,12/18/1852,1852.0,12,18,,,Sandy Hook E 40 mi,Foundered in gale,"Philadelphia, PA","Portland, ME"
Albert W Smith,,1873,Schooner,4/11/1894,1894.0,4,11,,,Squan Beach NE .25 mi,Stranded,"Philadelphia, PA","Providence, RI"
Alberta,,1882,Schooner,10/12/1911,1911.0,10,12,,,Little Egg Harbor S 1 mi,Grounded,"York River, VA","New York, NY"
Albertine Meyer,J Diercks,,Brig,2/6/1884,1884.0,2,6,39.75437,-74.09606,Barnegat LSS SE .5 mi,Stranded,"Bahia, Brazil","New York, NY"
Albion (1839),,,Brig,1/6/1839,1839.0,1,6,,,Cape May,Stranded,,
Albion (1847),,,Schooner,8/1847,1847.0,8,,,,Sandy Hook,Stranded,"Picton, NS","New York, NY"
Albion (1857),,,Schooner,9/1857,1857.0,9,,,,Sandy Hook,Stranded,"Calais, France","Philadelphia, PA"
Alert (1901),,1880,Sloop,7/4/1901,1901.0,7,4,39.75767,-74.06601,Barnegat LSS E 2 mi,Struck submerged object,"Little Egg Harbor, NJ",Fishing trip
Alert (1929),,1917,Motor vessel diesel,4/25/1928,1928.0,4,25,,,Highlands Light,Foundered,,
Alert (1935),,,Trawler,1/11/1935,1935.0,1,11,,,Sandy Hook,Collision w/ scow,,
Alexander,Scott Tran,1978,Commercial Fishing vessel,39575,2008.0,5,7,38.94471,-74.14948,Great Egg Inlet SE 33 mi,"Flooded, sank","Cape May, NJ",Fishing trip
Alexander Gibson,Luckenbach,1877,Schooner - Barge,11/28/1915,1915.0,11,28,38.85122,-74.88267,Cape May McCrie Shoal,Stranded,"Seawalls Point, VA","Boston, MA"
Alexander II,Scott Tran,1984,Commercial Fishing vessel,40027,2009.0,8,2,38.04944,-73.83595,Cape May SE 86 mi,Attempted Sinking,"Cape May, NJ",Fishing trip
Alexander Wiley,,,Schooner,5/6/1878,1878.0,5,6,,,Little Egg Harbor LSS S 1 mi,Stranded,"New Haven, CT","Baltimore, MD"
Alfred & Charles,,,Sloop,9/12/1838,1838.0,9,12,,,Cape May,Grounded in gale,,
Alfred C Harmer,,1873,Sloop,1/1/1897,1897.0,1,1,,,Little Egg LSS E 1.75 mi,Stranded,"Little Egg Harbor, NJ","New York, NY"
Alfred Hall,G P Wright,1854,Schooner,1/23/1871,1871.0,1,23,,,Little Egg Harbor,Stranded,,"New York, NY"
Alfred W. Fiske,Elihu Kelley,1872,Schooner 3 masted,11/16/1872,1872.0,11,16,,,Brigantine Beach,Stranded,"Baltimore, MD","Boston, MA"
Algoma,J F Whitney,1872,Ship,5/18/1889,1889.0,5,18,,,Long Beach LSS N .5 mi,Stranded,"Rio de Janiero, Brazil","New York, NY"
Alias,,1912,Motor vessel,8/20/1939,1939.0,8,20,,,"North Bergen, NJ",Fire,,
Alice (1840),,,Brig,2/1840,1840.0,2,,,,Highland Light E 3 mi,Stranded,"Bath, ME",Cuba
Alice (1841),,,Schooner,12/1841,1841.0,12,,,,Highlands Light N,Stranded,,
Alice (1867),,,Brig,10/11/1867,1867.0,10,11,,,Sandy Hook,Stranded,,
Alice (1879),J S Winslow & Co,1874,Bark,7/18/1879,1879.0,7,18,,,Absecon SSE 35 mi,"Collision w/ ""San Miguel""","Caibarien, Cuba","New York, NY"
Alice (1893),M Jacobson,1865,Bark,2/6/1893,1893.0,2,6,39.56096,-74.23477,Long Beach LSS S 1.75 mi,Ran aground in fog,"Dunkirk, France","New York, NY"
Alice (1946),,1911,Motor vessel,5/26/1946,1946.0,5,26,,,Hereford Inlet S 1 mi,,,
Alice B (1889),,1863,Schooner,4/30/1889,1889.0,4,30,,,Hereford Inlet North bar,Stranded,"Rondout, NY","Wilmington, DE"
Alice B (1890),,1863,Schooner,3/29/1890,1890.0,3,29,,,Absecon,Collision,,
Alice Belle,,1877,Schooner,5/16/1896,1896.0,5,16,39.28255,-74.53782,Ocean City LSS E 1.25 mi,Stranded,"Gardiner, ME","Ocean City, NJ"
Alice Hearn,W S Hudson,1880,Schooner,9/11/1882,1882.0,9,11,,,Sandy Hook,Heavy Gale,"Baltimore, MD","Boston, MA"
Alice L Pearce,,,Schooner,11/23/1876,1876.0,11,23,,,,Stranded,"Pamunkey River, VA","New York, NY"
Alice Lee,,,Schooner,12/14/1859,1859.0,12,14,,,Squan Inlet S 2 mi,Stranded,"Boston, MA","Philadelphia, PA"
Alice M Lewis,Jesse Lewis,1869,Schooner,4/11/1879,1879.0,4,11,,,Townsends Inlet North bar,Stranded,"Gloucester, MA",
Alice M Ridgway (1868),,1864,Schooner,3/20/1868,1868.0,3,20,,,Cape May Fishing Creek,Stranded; Capsized,"Cape May, NJ","Philadelphia, PA"
Alice M Ridgway (1877),,1864,Schooner,2/14/1877,1877.0,2,14,,,Cold Spring Inlet South bar,Stranded,"Philadelphia, PA","Cape May, NJ"
Alice Ridgway (1888),William E Cranmer,1880,Sloop,3/12/1888,1888.0,3,12,,,Little Egg LSS N .25 mi,Stranded,"Manahawkin, NJ","New York, NY"
Alice Ridgway (1897),William E Cranmer,1880,Sloop,9/17/1897,1897.0,9,17,,,"Billingsport, NJ",Struck on jetty,"Beach Haven, NJ","Chester, PA"
Alice Starratt,C W Berteux,1866,Brig Half,4/27/1874,1874.0,4,27,,,Sandy Hook SExE 90 mi,Disabled,"Port Caledonia, Cape Breton",
Alicia B Crosby,E.S. Crosby,1889,Schooner,1/31/1911,1911.0,1,31,,,Avalon LSS ENE 1.5 mi,Stranded,"Portland, ME","Philadelphia, PA"
Alida A Smith,R Rose,1876,Brig,3/15/1886,1886.0,3,15,,,Hereford Inlet South bar,Stranded,"Cienfuegos, Cuba",Delaware Breakwater
Alisha Marie,Robert Elsey,2003,Scallop boat,12/23/2009,2009.0,12,23,,,Barnegat Light E 26 mi,Capsized,"Pt Pleasant Beach, NJ",Fishing service
Alknamook,,,Schooner,1/4/1876,1876.0,1,4,,,"Long Branch, NJ",Stranded,"New York, NY",Fishing Banks
Allair,,,Sailing ship,4/3/1740,1740.0,4,3,,,Sandy Hook,Foundered,,
Allen Osborn,,,Schooner,1838 - 1878,1860.0,,,,,Barnegat Inlet N 1-2 mi,Stranded,,
Allentown (1879),Philadelphia & Reading RR Co,1874,Steamship Aux. Sail,1/25/1879,1879.0,1,25,,,"Hereford Inlet, NJ",Dismasted,"Philadelphia, PA","Boston, MA"
Allentown (1886),Philadelphia & Reading RR Co,1874,Steamship Aux. Sail,2/26/1886,1886.0,2,26,,,Barnegat E,Lost main mast,"Boston, MA","Philadelphia, PA"
Allentown (1917),,1908,Barge,3/31/1917,1917.0,3,31,,,Highlands,"Collision w/ ""Coamo""",,
Allie B Cathrall,,1885,Schooner,11/16/1893,1893.0,11,16,,,Absecon Inlet,Grounded,"New York, NY","Atlantic City, NJ"
Allie Bickmore,,,Schooner,7/12/1874,1874.0,7,12,,,Long Beach Island,Stranded,,
Allies,T Cowan,1855,Brig,3/30/1863,1863.0,3,30,,,Corsons Inlet,Foundered,"Cow Bay, NS","New York, NY"
Alma (1908),,1905,Tug steam,12/22/1908,1908.0,12,22,38.93246,-74.86049,Cold Spring LSS E 2.5 mi,Foundered,"Bellevue, DE","Cold Spring, NJ"
Alma (1924),Gustave Johnson,1917,Motor vessel gas,1/5/1924,1924.0,1,5,,,Five Fathom Bank Lightship,Foundered after engine failure,"Wildwood, NJ",Fishing trip
Almar,,1933,Yacht motor,6/28/1937,1937.0,6,28,,,Stone Harbor SE,Burned,,
Almirante,United Fruit Co,1909,Passenger cargo ship,9/6/1918,1918.0,9,6,39.35333,-74.19194,Atlantic City ESE 9 mi,"Collision w/ ""USS Hiasko""","New York, NY","Havana, Cuba"
Aloha,,,,5/8/1907,1907.0,5,8,,,Barnegat,,,
Alpha,,1881,Freighter,12/31/1911,1911.0,12,31,,,Atlantic City N 1 mi,Stranded,"Philadelphia, PA","Atlantic City, NJ"
Altair,Socony Vacuum Oil Co,1920,Tanker,11/21/1943,1943.0,11,21,,,Delaware Bay entrance,"Collision w/ ""Bostonian""","Puerto la Cruz, Venezuala","Paulsboro, NJ"
Altavela,Rufus C Wells,1853,Schooner,5/2/1884,1884.0,5,2,39.76123,-74.08515,Barnegat LSS ENE 1 mi,Stranded,"Blue Hill, ME","Washington, DC"
Altavelia,Allen C Holt,1870,Schooner,11/6/1886,1886.0,11,6,,,Delaware Capes N 10 mi,Capsized in gale,,
Alva B,E H Hallman,,Launch gas,7/29/1906,1906.0,7,29,,,Hereford Inlet bar,Capsized in storm,"Anglesea, NJ",Fishing trip
Alva Cape,Alva SS Co,1953,Tanker,6/16/1966,1966.0,6,16,,,"Kill van Kull, NY","Collision w/ ""Texaco Massachusetts""",,"Kill van Kull, NY"
Alvega,Stephenson & Smith,1874,Bark,4/5/1886,1886.0,4,5,,,Barnegat SE 15 mi,"Collision w/ ""Quebec""","Amsterdam, Neth","Philadelphia, PA"
Alvena,Atlas SS Co,1870,Steamship,1/19/1897,1897.0,1,19,,,Sandy Hook,"Collision w/ ""British Queen"" ","New York, NY",Haiti
