Ship Name,Year,Location,Cause,Lives Lost,Ship Value,Cargo Value,Vessel Type
74 H shipwreck (1916),1916,Sandy Hook SE 5 mi,Grounded,0,,,Scow
A B Crosby shipwreck (1888),1888,Atlantic Highlands,Grounded in snowstorm,0,,,Schooner
A B Sherman shipwreck (1886),1886,Five Fathoms Bank Light,Storm,0,,,Schooner
A B Thompson shipwreck (1874),1874,Absecon,Capsized,5,,,Yacht
A C Austin shipwreck (1868),1868,Sandy Hook Romer Shoal,Grounded,0,30000.0,,Schooner
A D Scull shipwreck (1880),1880,Townsends Inlet,Grounded,0,8000.0,1000.0,Schooner
A E Douglass shipwreck (1862),1862,Barnegat N 8 mi,Foundered,5,,,Schooner
A F Baillie shipwreck (1875),1875,"Carters Bar, VA",Storm,0,13000.0,1400.0,Schooner
A F Crockett shipwreck (1894),1894,Harvey Cedars NE .5 mi,Stranded,0,16000.0,7000.0,Schooner
A Field shipwreck (1852),1852,Deal Beach,Stranded,1,,,Schooner
A G Ropes shipwreck (1913),1913,Island Beach,Foundered in gale,5,50000.0,9800.0,Schooner - Barge
A H Bowman shipwreck (1857),1857,Deal Lake N .25 mi,Unknown,0,30000.0,,Steamship
A H Edward shipwreck (1820),1820,Nine Mile Beach,Stranded,0,,,Schooner
A H Hurlburt shipwreck (1884),1884,Cape May LSS SW 4 mi,Stranded,0,20000.0,40000.0,Schooner
A J Bentley shipwreck (1873),1873,Barnegat,Collision w/ unknown schooner,0,,,Schooner
A J Hoole shipwreck (1902),1902,Spermaceti Cove LSS S 1 mi,Grounded,0,1000.0,,Schooner
A L & M Townsend shipwreck (1888),1888,Little Egg LSS S 2 mi,Grounded,0,1500.0,200.0,Schooner
A L Lee (1897) shipwreck (1897),1897,Ocean City LSS E .5 mi,Stranded,0,5000.0,,Schooner
A L Lee (1898) shipwreck (1898),1898,Absecon bar,Grounded,0,3000.0,500.0,Schooner
A L Lee (1902) shipwreck (1902),1902,Absecon bar,Grounded,0,5000.0,650.0,Schooner
A Lincoln shipwreck (1891),1891,Barnegat,Damaged in gale,1,,,Schooner
A M C Smith shipwreck (1876),1876,Green Island LSS N .25 mi,Stranded,0,4000.0,,Schooner
A M Lee shipwreck (1885),1885,Highlands SE .5 mi,Dismasted in storm,0,,,Schooner
A P Nowell shipwreck (1886),1886,Cape May,"Collision w/ ""Josephine""",0,10000.0,1000.0,Schooner
A Pardee shipwreck (1875),1875,Little Egg Harbor,Grounded,0,16000.0,2000.0,Schooner
A S Wasse shipwreck (1860),1860,Squan Inlet S 1.5 mi,Stranded,0,,,Brig
A T Coleman shipwreck (1901),1901,Atlantic City New Jersey Ave S,Stranded,0,1800.0,800.0,Schooner
A T Stewart #6 shipwreck (1869),1869,New Jersey coast,"Collision w/ ""Scotia""",0,,,Pilot boat
Abbie E Campbell shipwreck (1873),1873,Brigantine Shoal,Stranded,0,12000.0,,Schooner
Abbie H Gheen shipwreck (1900),1900,Manasquan Inlet,"Collision w/ ""Manna-Hatta""",0,8000.0,,Schooner
Abbie M Deering shipwreck (1885),1885,Unknown,Stranded,0,7000.0,200.0,Schooner
Abbie Pitman shipwreck (1879),1879,Unknown,Collision,0,,,Schooner
Abbie S Walker shipwreck (1888),1888,Hereford Inlet North bar,Stranded,0,12000.0,4000.0,Schooner
Abby shipwreck (1852),1852,Cape May,Stranded; bilged in storm,0,,,Schooner
Abby K Bentley shipwreck (1885),1885,Squan Beach,Sprung foremast,0,,,Schooner
Abby L Dow (1887) shipwreck (1887),1887,Hereford Inlet,"Collision w/ ""H S Lanfair""",0,4000.0,900.0,Schooner
Abby L Dow (1893) shipwreck (1893),1893,Hereford Inlet bar,Stranded,0,2500.0,1800.0,Schooner
Abby Whitman shipwreck (1855),1855,Little Egg Harbor,Grounded,0,,,Schooner
Abel C Buckley shipwreck (1879),1879,Barnegat,Damaged in storm,0,,,Schooner
Aberdeen shipwreck (1885),1885,Harvey Cedars LSS,Stranded,0,7000.0,38000.0,Bark
Abiel Abbot shipwreck (1903),1903,Ship Bottom LSS S .5 mi,Stranded,5,8000.0,3000.0,Bark
Abigail (1756) shipwreck (1756),1756,Great Egg Harbor Shoal,Stranded,0,,,Sloop
Abigail (1831) shipwreck (1831),1831,"Leeds Point, NJ",Foundered at anchor,1,,,Sloop
Abigail Haley shipwreck (1868),1868,Squan Inlet S 3 mi,Grounded,0,20000.0,,Schooner
Abraham Leggett #4 shipwreck (1870),1870,Highlands S 3 mi,Grounded,0,,,Pilot boat
Absecon shipwreck (1885),1885,Absecon,Stranded,0,10000.0,150.0,Steamship
Acara shipwreck (1902),1902,Jones Inlet - Outer Sand Bar,Stranded in storm,0,,600000.0,Screw schooner
Achille S / Achilles shipwreck (1862),1862,Little Egg LSS E,Grounded,0,7000.0,90000.0,Brig
Achorn shipwreck (1880),1880,Absecon E 9 mi,"Collision w/ ""Maria and Elizabeth""",1,,,Schooner
Active (1778) shipwreck (1778),1778,Unknown,Taken by HMS Mermaid,0,,,Brig Privateer
Active (1885) shipwreck (1885),1885,Sandy Hook Point,Stranded,0,300.0,,Sloop
Active (1938) shipwreck (1938),1938,"Belford, NJ",Foundered,0,,,Motor vessel
Ada F Crosby shipwreck (1881),1881,Del-Mar-Va E 200 mi,Leaking; Abandoned at sea,1,42000.0,3500.0,Bark
Adair F Bonney shipwreck (1875),1875,Barnegat,Lost at Sea,7,,,Schooner
Addie shipwreck (1886),1886,Cold Spring Inlet South bar,Stranded,0,1000.0,400.0,Schooner
Addie B Bacon shipwreck (1908),1908,Sandy Hook Flynns Knoll,Stranded,0,,,Barge
Addie E Sleeper shipwreck (1879),1879,Highlands,Dismasted in gale,3,,,Bark
Addie Harris shipwreck (1866),1866,Corsons Inlet,Stranded,0,,,Schooner
Addie Jordan shipwreck (1907),1907,Squan Beach N 5 mi,Stranded,0,2000.0,14000.0,Schooner
Addie P McFadden shipwreck (1894),1894,Ocean City LSS NW .75 mi,Stranded,0,14000.0,300.0,Schooner
Addie Schlaefer shipwreck (1877),1877,Cold Spring Inlet South bar,Stranded,0,7000.0,6000.0,Schooner
Addie Taylor shipwreck (1882),1882,Sandy Hook Point,Stranded; swamped,0,300.0,,Schooner - yacht
Addie Walton shipwreck (1876),1876,Unknown,"Collision w/ ""Light Brigade""",1,,,Schooner
Addie Wooster shipwreck (1921),1921,Atlantic City,Stranded,0,,,Motor vessel gas
Adelaide (1840) shipwreck (1840),1840,Sickles Creek,Stranded/Broke up,0,,,Schooner
Adelaide (1841) shipwreck (1841),1841,Brigantine Beach,Leaking,0,,,Schooner
Adelaide (1846) shipwreck (1846),1846,Barnegat Inlet,Struck Bar; Capsized,4,,,Sloop
Adelaide (1870) shipwreck (1870),1870,Barnegat,"Collision w/ ""Shakespeare""",0,,,Schooner
Adele shipwreck (1958),1958,Manasquan Inlet ESE 6.5 mi,Foundered,0,,,Dragger
Adele Lindell shipwreck (1885),1885,Tuckerton Shoal,Stranded,0,,,Schooner
Adele Trudell shipwreck (1891),1891,Sandy Hook Romer Shoal,Stranded in storm,0,2000.0,310.0,Schooner
Adelia Burley shipwreck (1874),1874,Great Egg Harbor bar,Stranded,0,,,Schooner
Adelia Hodgkins shipwreck (1877),1877,Egg Harbor,Unknown,0,,,Schooner
Adeline Baxter shipwreck (1877),1877,Corsons Inlet S .5 mi,Stranded in storm,0,,,Schooner
Adeliza shipwreck (1877),1877,Sandy Hook,Crushed in ice,0,,,Schooner
Admiral Dewey shipwreck (1918),1918,New Jersey coast,Burned,0,,,Barge
