OBJECTID,SOURCE_ID,COUNTRY,NAME,LEAST_DEPTH,MAX_DEPTH,DEPTH_INFO,DEPTH_PREC,OBJECT_LENGTH,LOC_PREC,SITE_AREA,SINK_CONTEXT,SINK_YR,DATING,PERIOD,STATUTORY_PROT,OBJ_DESC,SHIP_CHAR,OBJ_TYPE,EST_TONNAGE,PLACE_ORIG,PLACE_DEST,ARTEFACTS,COAST_DIST,SOURCE_INFO,REFERENCE,WEBSITE1,WEBSITE2
"1",FR 0000168844 00001,France,n.a.,40,,n.a.,Least depth known,12,10,,n.a.,,n.a.,n.a.,n.a.,"03/10/2009: Metal barge about 12 meters long, 5 meters wide and protruding from the bottom of about 2 meters",Barge,"Raft, barge",,n.a.,n.a.,n.a.,649.490247597,SHOM,n.a.,n.a.,n.a.
"2",FR 0000115995 00001,France,n.a.,2.9,,n.a.,Least depth known,12,1,,n.a.,,n.a.,n.a.,n.a.,04/27/1996: barge (8m * 12m),Barge,"Raft, barge",,n.a.,n.a.,n.a.,161.912723552,SHOM,n.a.,n.a.,n.a.
"3",FR 0000007884 00001,France,n.a.,0,,n.a.,n.a.,,15,,n.a.,,n.a.,n.a.,n.a.,machine debris scattered over an area of 100 meters,American steamer,Steamboat,,n.a.,n.a.,n.a.,75.9737792526,SHOM,n.a.,n.a.,n.a.
"4",FR 0000118463 00001,France,n.a.,40.4,,n.a.,Least depth known,15,5,,n.a.,,n.a.,n.a.,n.a.,"Landing barge 15 m long, 4 meters wide, 4 meters high, laid flat on the bottom, in very good condition. High point: rear superstructure. E / W orientation",Landing barge,Landing barge,,n.a.,n.a.,n.a.,652.53430555,SHOM,n.a.,n.a.,n.a.
"5",FR 0000118464 00001,France,n.a.,18.9,,n.a.,Least depth known,14,0.7,,n.a.,,n.a.,n.a.,n.a.,"floating metal transport pontoon, 1.5 m high and 7 m wide, pegged on the side; In very good shape. High point: small coral potato in the center of the side. E / W orientation",Floating transport pontoon,Pontoon,,n.a.,n.a.,n.a.,450.365815964,SHOM,n.a.,n.a.,n.a.
"6",FR 0000007886 00001,France,n.a.,4,,n.a.,Least depth known,4,5,,n.a.,,n.a.,n.a.,n.a.,04/30/1996: mini-barge (4m * 2m),Mini-barge,Barge,,n.a.,n.a.,n.a.,57.8405373342,SHOM,n.a.,n.a.,n.a.
"7",FR 0000007885 00001,France,n.a.,-1.3,,n.a.,Least depth known,,5,,n.a.,,n.a.,n.a.,n.a.,"half-submerged; has been partially cut out. Piece of barge",n.a.,n.a.,,n.a.,n.a.,n.a.,29.6369380589,SHOM,n.a.,n.a.,n.a.
"8",FR 0000179453 00003,France,n.a.,,,n.a.,n.a.,11,5,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,12.4359752374,SHOM,n.a.,n.a.,n.a.
"9",FR 0000007878 00001,France,n.a.,2,,n.a.,Least depth known,30,2,,n.a.,,n.a.,n.a.,n.a.,Wreck moved and sunk at the foot of the reef by 20 meters deep,Coaster,Coaster,,n.a.,n.a.,n.a.,79.6291319939,SHOM,n.a.,n.a.,n.a.
"10",FR 0000007877 00001,France,n.a.,14,,n.a.,Least depth known,47,2,,n.a.,,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,n.a.,n.a.,n.a.,128.123089919,SHOM,n.a.,n.a.,n.a.
