Vessel Name,Date of Wreck,Event,Location of wreck,Tonnage,Length (FT),Breadth (FT),depth (ft),Masts,Decks,Hull,Description,Story,Vessel Type,Type of event,Nature of Event,Cause of Event,Cargo,Lives Lost,Voyage from,Voyage To,Remarks,Built At,Date Built,Official Number,Registered at,Date Registered,Propulsion,Rig,Details
Stronza - 1875,1875-05-01,Stranded,"Youngs Island, Cape Breton",,,,,,,,,,,,,,,,,,,,,,,,,,
Cora May - 1917,1917-04-10,Foundered,"Youngs Cove, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Phoebe Ellen - 1872,1872-01-08,Stranded,Youngs Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Moon - 1883,1883-06-05,Stranded,"Yellowstone Beach, Torbay, 2 miles W of Cable Station",,,,,,,,,,,,,,,,,,,,,,,,,,
Return - 1870,1870-11-22,Stranded,"Yarmouth, W of lighthouse",,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules - 1916,1916-08-12,Wrecked,"Yarmouth, W of Fairway buoy",,,,,,,,,,,,,,,,,,,,,,,,,,
Louise M. Fuller - 1886,1886-12-09,Foundered,"Yarmouth, south of",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Gloucester - 1682,1682-05-06,Wrecked,"Yarmouth, off",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Hastings - 1707,1707-02-09,Capsized,"Yarmouth, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Repulse - 1782,1782-03-01,Wrecked,"Yarmouth, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific - 1870,1870-12-05,Stranded,"Yarmouth, off",,,,,,,,,,,,,,,,,,,,,,,,,,
James - 1872,1872-04-11,Stranded,"Yarmouth, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Bourneuf - 1874,1874-04-18,Sprung a leak,"Yarmouth, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Achsah - 1888,1888-03-28,Collision,"Yarmouth, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Governor Cobb - 1919,1919-07-19,Stranded,"Yarmouth, off",,,,,,,,,,,,,,,,,,,,,,,,,,
Gladys Pauline - 1974,1974-04-24,Foundered,"Yarmouth, off",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Circle - 1803,1803-11-16,Grounded,"Yarmouth, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Agenoria - 1836,1836-05-01,Wrecked,"Yarmouth, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Ann - 1837,1837-01-01,Stranded,"Yarmouth, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Lucinda - 1845,1845-01-01,Wrecked,"Yarmouth, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Gleaner - 1890,1890-01-17,Stranded,"Yarmouth, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Mira - 1902,1902-08-03,Stranded,"Yarmouth, near",,,,,,,,,,,,,,,,,,,,,,,,,,
Coban - 1908,1908-04-06,Grounded,"Yarmouth, Lat. 43 48`N, Long. 66 08`W",,,,,,,,,,,,,,,,,,,,,,,,,,
G. W. Johnston - 1877,1877-01-11,Burnt,"Yarmouth, Killam`s Wharf",,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas And Jane - 1841,1841-08-03,Sank,"Yarmouth, at Moody`s Wharf",,,,,,,,,,,,,,,,,,,,,,,,,,
Calavera - 1907,1907-12-05,Wrecked,"Yarmouth, 90 miles W of",,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Horse - 1876,1876-12-16,Abandoned,"Yarmouth, 40 miles SW of",,,,,,,,,,,,,,,,,,,,,,,,,,
Leo - 1894,1894-08-21,Stranded,"Yarmouth Whistle, 4 miles from",,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Rose - 1882,1882-01-01,Stranded,"Yarmouth Sound, on reef inside Light",,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine - 1871,1871-12-06,Stranded,Yarmouth Sound,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee - 1872,1872-12-10,Stranded,Yarmouth Sound,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Stevens - 1876,1876-02-06,Stranded,Yarmouth Sound,,,,,,,,,,,,,,,,,,,,,,,,,,
