X,Y,OBJECTID,record,vesselTerms,areaIdentifier,chart,positionQuality,positionSource,depth,soundingType,yearSunk,history,latitudeDD,longitudeDD
-8218906.5120199,4951206.62529642,1,15118,WRECK,A,12350,Med,Direct,15,Feet and tenths,,L-1525(71)--Visible wreck located in approximate position LAT 40-35-3.17N LONG 073-49-54.09W. (ENT 6/3/13 PTT).,40.584214,-73.831692
-7619001.26096454,5495088.76322209,2,8896,UNKNOWN,A,13315,High,Direct,21,Feet and tenths,,"HISTORY H7834/50-- 47-53FT DEPTHS EXIST IN VICINITY. H8696WD/57-- AREA CLEARED TO 28FT. LNM4/86(1/28/86)--1ST CGD; DANG SUBM WK, POSITION GIVEN IN LAT 44-11-29N, LONG 68-26-29W(NAD27). (ENTERED 4/94 RWD) FE407/94-- WRECK SUBM 21FT AT MLLW,",44.191256,-68.442653
-7865655.04589972,5252827.68417019,3,11928,UNKNOWN,A,13281,High,Direct,4,Meters and tenths,,"LNM32/73 (7/11/73)-- MASSACHUSETTS-GLOUCESTER HARBOR- A 32-FOOTLOBSTER BOAT HAS BEEN REPORTED SUNK IN 16 FEET OF WATER ABOUT 600 YARDS, 032 DEGS. FROM BLACK ROCK DAY BEACON (LL PAGE88). MARINERS ARE URGED TO PROCEED WITH EXTREME CAUTION WHEN TRANSITING",42.610194,-70.658381
-7865208.20934462,5253492.92345999,4,11932,UNKNOWN,A,13281,High,Direct,5,Meters and tenths,,"LNM29/73 (6/27/73)-- MASSACHUSETTS-GLOUCESTER INNER HARBOR-NORTH CHANNEL; THE USACE ADVISES THAT A 90-FOOT WOODEN BARGE IS SUNK IN APPROXIMATE LOCATION LAT. 42-36-52N, LONG. 70-39-18W. SECURED TO A DILAPIDATED WHARF ADJACENT TO THE QUINCY MARKET COLD",42.614592,-70.654367
-7894486.46798651,5216165.71821986,5,10646,UNKNOWN,A,13270,High,Direct,33,Feet and tenths,,"HISTORY CL483/00--USACE (BILL KAVANAUGH, 918-318-8328) TO CGD1 (MARY SWANSON 617-223-8356) 3/20/00; WHILE PERFORMING A HYDROGRAPHIC SURVEY OF THE BOSTON HARBOR, BROAD SOUND, NORTH CHANNEL, AN OBSTRUCTION TO NAVIGATION WAS IDENTIFIED. DEPTHS OF 34.9",42.367336,-70.917378
-7893603.03602232,5211582.75236403,6,11745,UNKNOWN,A,13270,High,Direct,16,Feet and tenths,,"HISTORY H10991/00-- OPR-A397-WH; 200% SIDE SCAN SONAR SEARCH LOCATED WRECKS (SEE AWOIS N0S. 10361 AND 10362 FOR BACKGROUND INFORMATION). AREA DEVELOPED WITH SWMB SONAR AND A LD OF 16 FEET (5.10 METERS) WAS OBTAINED IN LAT. 42-20-12.88N, LONG. 70-54",42.336911,-70.909442
-7815064.33408426,5393797.56020915,7,11052,JESSICA ANN,A,13290,High,Direct,110,Feet and tenths,,HISTORY F00460/00-- SIDE SCAN SONAR AND MULTI BEAM SONAR OPERATIONS LOCATED AND DESCRIBED THE WRECK (TOO DEEP FOR DIVE OPS). DATA INDICATE VESSEL (F/V) IS LYING ON HER SIDE ORIENTED 20-200 DEGREES. WRECK APPROX. 25 METERS LONG. AREA AROUND TH,43.535222,-70.203917
-7900900.92178096,5215897.53261476,8,11053,UNKNOWN,A,13272,Med,Direct,,,,"HISTORY LNM13/01-- MASSACHUSETTS-BOSTON HARBOR-WINTHROP CHANNEL-HAZARD TO NAVIGATION; A 25-FOOT SUNKEN VESSEL HAS BEEN REPORTED AT (PA) 42-21-56N, 70-58-30W IN WINTHROP CHANNEL. THE SUNKEN VESSEL'S POSITION IS UNMARKED. MARINERS TRANSITTING THE C",42.365556,-70.975
-7877647.50176818,5326613.72654793,9,11068,UNKNOWN,A,13285,Med,Scaled,,,,"HISTORY Charted visible wreck. CL99/88-- Dept. of the Army, New England Corps of Engineers, Report of field investigation; Item #3: 100 x 25 foot wooden barge at Lat. 43-05-46N, Lon. 70-45-58W which has been sitting on the bottom for about 2 ye",43.096111,-70.766111
-7884065.74061997,5330448.14699681,10,11069,UNKNOWN,A,13285,High,Direct,26,Feet and tenths,,"HISTORY NM 2/70--Sunken barge reported; covered 21 ft at MLW. Position scaled 4140 yards, 274 deg. from Bolt Hill standpipe(corrected pos. of standpipe reported in NM 13/70; 43-07-07N, 70-46-40W). NM 27/70--Wreck buoy discontinued at lat. 43-07-",43.121258,-70.823767
